set_point,position_error,current,profile,load,run,fault_type,group,time
20.96,1.010749,0.38314342372881294,trap,20,1,2,1,0
21.92,2.098037,0.4561524237288128,trap,20,1,2,1,0.04
22.879999999999995,2.834393,0.6432984237288129,trap,20,1,2,1,0.07999999999999999
23.840000000000003,3.292471,0.8700344237288129,trap,20,1,2,1,0.12
24.799999999999997,3.614984,1.0223684237288129,trap,20,1,2,1,0.16
25.760000000000005,4.032411,1.045253423728813,trap,20,1,2,1,0.19999999999999998
26.72,4.285383,1.030092423728813,trap,20,1,2,1,0.24000000000000002
27.68,3.907446,0.8859984237288128,trap,20,1,2,1,0.28
28.64,4.112937,0.8924904237288132,trap,20,1,2,1,0.32
29.6,4.342286,0.8889264237288128,trap,20,1,2,1,0.36000000000000004
30.560000000000002,4.143876,0.8638814237288128,trap,20,1,2,1,0.4
31.519999999999996,3.656571,0.8024474237288128,trap,20,1,2,1,0.44
32.48,3.309042,0.800540423728813,trap,20,1,2,1,0.48000000000000004
33.44,3.364853,0.8009394237288128,trap,20,1,2,1,0.52
34.4,3.059226,0.7773464237288128,trap,20,1,2,1,0.5599999999999999
35.36,2.690326,0.8219034237288128,trap,20,1,2,1,0.6
36.32,2.312412,0.8003634237288129,trap,20,1,2,1,0.64
37.28,2.118894,0.8154384237288128,trap,20,1,2,1,0.6799999999999999
38.24,1.83038,0.7814154237288129,trap,20,1,2,1,0.72
39.2,1.472023,0.8112434237288129,trap,20,1,2,1,0.76
40.16,1.062739,0.8441614237288129,trap,20,1,2,1,0.7999999999999999
41.12,0.914252,0.8416434237288128,trap,20,1,2,1,0.84
42.08,0.866771,0.8553774237288128,trap,20,1,2,1,0.88
43.04,0.874327,0.8636884237288129,trap,20,1,2,1,0.9199999999999999
44,0.402547,0.8644724237288128,trap,20,1,2,1,0.96
44.96000000000001,0.370926,0.9311874237288131,trap,20,1,2,1,1
45.92,0.303486,0.931993423728813,trap,20,1,2,1,1.04
46.879999999999995,0.363626,0.9122264237288131,trap,20,1,2,1,1.08
47.84,-0.041155,0.9061704237288131,trap,20,1,2,1,1.1199999999999999
48.8,-0.136118,0.886271423728813,trap,20,1,2,1,1.16
49.75999999999999,-0.496284,0.9197304237288131,trap,20,1,2,1,1.2
50.72,-0.134571,0.9403694237288132,trap,20,1,2,1,1.24
51.68000000000001,-0.0923,0.9400944237288129,trap,20,1,2,1,1.28
52.64,-0.12006,0.9166364237288132,trap,20,1,2,1,1.32
53.599999999999994,-0.324098,0.9000774237288132,trap,20,1,2,1,1.36
54.56,-0.265464,0.9445384237288128,trap,20,1,2,1,1.4
55.52000000000001,0.133005,0.967195423728813,trap,20,1,2,1,1.44
56.47999999999999,0.065265,0.9426344237288127,trap,20,1,2,1,1.48
57.44,0.140169,0.9012504237288128,trap,20,1,2,1,1.52
58.400000000000006,0.040995,0.9418094237288128,trap,20,1,2,1,1.56
59.36,-0.113818,0.957308423728813,trap,20,1,2,1,1.6
60.31999999999999,-0.215852,0.9170794237288129,trap,20,1,2,1,1.64
61.28,-0.236895,0.932063423728813,trap,20,1,2,1,1.68
62.24000000000001,-0.408514,0.9219514237288127,trap,20,1,2,1,1.72
63.2,-0.156849,0.959297423728813,trap,20,1,2,1,1.76
64.16,-0.331484,0.9818094237288129,trap,20,1,2,1,1.8
65.12,-0.425023,0.976631423728813,trap,20,1,2,1,1.84
66.08,0.078154,0.9689754237288131,trap,20,1,2,1,1.88
67.04,0.092177,0.9676234237288128,trap,20,1,2,1,1.92
68,0.175897,0.935443423728813,trap,20,1,2,1,1.96
68.96,0.032879,0.9263674237288126,trap,20,1,2,1,2
69.92,0.1334,0.9321954237288128,trap,20,1,2,1,2.04
70.88,0.14807,0.9511424237288126,trap,20,1,2,1,2.08
71.84,0.266726,0.9586424237288129,trap,20,1,2,1,2.12
72.8,0.460286,0.9349584237288127,trap,20,1,2,1,2.16
73.76,0.118164,0.9220134237288129,trap,20,1,2,1,2.2
74.72,0.215212,0.918560423728813,trap,20,1,2,1,2.24
75.68,0.042031,0.9405184237288127,trap,20,1,2,1,2.28
76.64,0.060814,0.9416614237288126,trap,20,1,2,1,2.32
77.6,-0.054773,0.9085424237288129,trap,20,1,2,1,2.36
78.56,-0.080291,0.9443914237288131,trap,20,1,2,1,2.4
79.52,-0.027119,0.9547174237288127,trap,20,1,2,1,2.44
80.48,-0.072779,0.9356094237288131,trap,20,1,2,1,2.48
81.44,0.139119,0.983716423728813,trap,20,1,2,1,2.52
82.4,0.098333,0.9448214237288128,trap,20,1,2,1,2.56
83.36,0.114729,0.951494423728813,trap,20,1,2,1,2.6
84.32,-0.091566,0.916025423728813,trap,20,1,2,1,2.64
85.28,-0.180202,0.933499423728813,trap,20,1,2,1,2.68
86.24,-0.629898,0.8797444237288128,trap,20,1,2,1,2.72
87.2,-0.199961,0.9496794237288129,trap,20,1,2,1,2.7600000000000002
88.16,-0.309703,0.9472504237288131,trap,20,1,2,1,2.8
89.12,0.081104,0.9562464237288129,trap,20,1,2,1,2.84
90.08,0.102834,0.9973834237288128,trap,20,1,2,1,2.88
91.04,-0.140243,0.935018423728813,trap,20,1,2,1,2.92
92,-0.437135,0.9024744237288129,trap,20,1,2,1,2.96
92.96,-0.524501,0.8627584237288128,trap,20,1,2,1,3
93.92,-0.051358,0.9609444237288132,trap,20,1,2,1,3.04
94.88,-0.042533,0.9468564237288131,trap,20,1,2,1,3.08
95.84,0.363922,1.0038444237288127,trap,20,1,2,1,3.12
96.8,0.356007,0.9616004237288129,trap,20,1,2,1,3.16
97.76,0.458378,0.926039423728813,trap,20,1,2,1,3.2
98.72,0.067297,0.886595423728813,trap,20,1,2,1,3.24
99.68,0.046585,0.916438423728813,trap,20,1,2,1,3.2800000000000002
100.64,-0.067962,0.9415614237288128,trap,20,1,2,1,3.32
101.6,-0.174876,0.9180474237288128,trap,20,1,2,1,3.36
102.56,0.095389,0.9402234237288132,trap,20,1,2,1,3.4
103.52,0.27847,0.9731294237288128,trap,20,1,2,1,3.44
104.48,0.233731,0.921318423728813,trap,20,1,2,1,3.48
105.44,0.239468,0.936104423728813,trap,20,1,2,1,3.52
106.4,0.008035,0.9392934237288129,trap,20,1,2,1,3.56
107.36,-0.183494,0.9242934237288132,trap,20,1,2,1,3.6
108.32,-0.287143,0.9082464237288128,trap,20,1,2,1,3.64
109.28,-0.456344,0.8801934237288129,trap,20,1,2,1,3.68
110.24000000000001,-0.265643,0.9450844237288132,trap,20,1,2,1,3.72
111.19999999999999,0.034615,0.9690964237288131,trap,20,1,2,1,3.7600000000000002
112.16,0.043277,0.9687804237288129,trap,20,1,2,1,3.8
113.12,0.137345,0.9343724237288129,trap,20,1,2,1,3.84
114.07999999999998,0.225814,0.930500423728813,trap,20,1,2,1,3.88
115.04000000000002,0.106852,0.891682423728813,trap,20,1,2,1,3.92
116,0.281252,0.9687564237288127,trap,20,1,2,1,3.96
116.95999999999998,0.287002,0.9650334237288127,trap,20,1,2,1,4
117.92000000000002,0.040352,0.9110454237288128,trap,20,1,2,1,4.04
118.88,0.094942,0.9173904237288129,trap,20,1,2,1,4.08
119.84,-0.016042,0.9122594237288129,trap,20,1,2,1,4.12
120.80000000000001,0.215768,0.9807164237288128,trap,20,1,2,1,4.16
121.75999999999999,-0.234253,0.9006404237288128,trap,20,1,2,1,4.2
122.72,0.125043,0.9619844237288129,trap,20,1,2,1,4.24
123.68,-0.164934,0.902363423728813,trap,20,1,2,1,4.28
124.63999999999999,0.155228,0.9637064237288129,trap,20,1,2,1,4.32
125.6,-0.036814,0.9187444237288129,trap,20,1,2,1,4.36
126.56,-0.145507,0.9294184237288128,trap,20,1,2,1,4.4
127.51999999999998,-0.251125,0.9284614237288131,trap,20,1,2,1,4.44
128.48,-0.46627,0.9116294237288132,trap,20,1,2,1,4.48
129.44,-0.231533,0.9226044237288129,trap,20,1,2,1,4.5200000000000005
130.4,-0.057418,0.9763124237288128,trap,20,1,2,1,4.5600000000000005
131.36,0.040309,0.946500423728813,trap,20,1,2,1,4.6
132.32,0.04955,0.9671724237288128,trap,20,1,2,1,4.64
133.28,0.005506,0.9512524237288129,trap,20,1,2,1,4.68
134.24,-0.09642,0.9441394237288125,trap,20,1,2,1,4.72
135.2,-0.001725,0.9325734237288128,trap,20,1,2,1,4.76
136.16,-0.088259,0.8982964237288129,trap,20,1,2,1,4.8
137.12,-0.127856,0.9375604237288131,trap,20,1,2,1,4.84
138.08,0.26767,0.9920094237288131,trap,20,1,2,1,4.88
139.04,-0.144125,0.9016174237288126,trap,20,1,2,1,4.92
140,-0.001678,0.9153684237288127,trap,20,1,2,1,4.96
140,-1.30281,0.8972844237288127,trap,20,1,2,1,5
140,-2.142392,0.9426654237288126,trap,20,1,2,1,5.04
140,-3.071393,0.9612774237288126,trap,20,1,2,1,5.08
140,-3.401194,0.8020914237288128,trap,20,1,2,1,5.12
140,-4.151705,0.5457984237288129,trap,20,1,2,1,5.16
140,-4.480659,0.3932144237288129,trap,20,1,2,1,5.2
140,-4.411665,0.30812442372881277,trap,20,1,2,1,5.24
140,-3.95682,0.45654742372881296,trap,20,1,2,1,5.28
140,-3.96213,0.46879842372881275,trap,20,1,2,1,5.32
140,-4.000535,0.4671244237288128,trap,20,1,2,1,5.36
140,-3.795382,0.5581794237288129,trap,20,1,2,1,5.4
140,-3.424268,0.6346614237288128,trap,20,1,2,1,5.44
140,-3.642735,0.5838304237288128,trap,20,1,2,1,5.48
140,-3.318223,0.6424214237288128,trap,20,1,2,1,5.5200000000000005
140,-2.687419,0.7404734237288129,trap,20,1,2,1,5.5600000000000005
140,-2.234859,0.7082394237288128,trap,20,1,2,1,5.6
140,-1.871266,0.6126034237288129,trap,20,1,2,1,5.64
140,-1.74708,0.5573094237288128,trap,20,1,2,1,5.68
140,-2.060595,0.4618854237288128,trap,20,1,2,1,5.72
140,-1.5216750000000001,0.5713194237288128,trap,20,1,2,1,5.76
140,-1.658767,0.5241764237288129,trap,20,1,2,1,5.8
140,-0.881015,0.585612423728813,trap,20,1,2,1,5.84
140,-0.6767,0.5433304237288128,trap,20,1,2,1,5.88
140,-0.154742,0.47289442372881285,trap,20,1,2,1,5.92
140,-0.05932,0.39880442372881286,trap,20,1,2,1,5.96
140,-0.173798,0.3143834237288128,trap,20,1,2,1,6
140,-0.228441,0.2925974237288129,trap,20,1,2,1,6.04
140,-0.722823,0.26551042372881284,trap,20,1,2,1,6.08
140,-0.331735,0.37443442372881286,trap,20,1,2,1,6.12
140,-0.454873,0.3785584237288129,trap,20,1,2,1,6.16
140,0.239973,0.4242484237288129,trap,20,1,2,1,6.2
140,-0.81006,0.22792142372881297,trap,20,1,2,1,6.24
140,0.10168,0.3632444237288128,trap,20,1,2,1,6.28
140,0.088604,0.37617542372881285,trap,20,1,2,1,6.32
140,0.743516,0.3499974237288128,trap,20,1,2,1,6.36
140,0.676649,0.35828442372881275,trap,20,1,2,1,6.4
140,0.707042,0.41790042372881286,trap,20,1,2,1,6.44
140,0.366052,0.3891884237288128,trap,20,1,2,1,6.48
140,-0.254246,0.30792742372881277,trap,20,1,2,1,6.5200000000000005
140,0.339516,0.3732514237288129,trap,20,1,2,1,6.5600000000000005
140,0.79251,0.4310394237288129,trap,20,1,2,1,6.6000000000000005
140,-0.078859,0.35954242372881295,trap,20,1,2,1,6.64
140,-0.469452,0.3342254237288129,trap,20,1,2,1,6.68
140,0.12987,0.3522504237288129,trap,20,1,2,1,6.72
140,-0.065524,0.3500394237288129,trap,20,1,2,1,6.76
140,0.504994,0.3921224237288128,trap,20,1,2,1,6.8
140,0.608345,0.4128054237288128,trap,20,1,2,1,6.84
140,0.242921,0.4389134237288128,trap,20,1,2,1,6.88
140,0.137394,0.42770242372881295,trap,20,1,2,1,6.92
140,0.204043,0.41233142372881293,trap,20,1,2,1,6.96
140,0.127276,0.40583542372881287,trap,20,1,2,1,7
140,-0.198577,0.38083942372881285,trap,20,1,2,1,7.04
140,-0.513526,0.3121564237288128,trap,20,1,2,1,7.08
140,-0.280363,0.33162542372881276,trap,20,1,2,1,7.12
140,-0.78738,0.30404642372881274,trap,20,1,2,1,7.16
140,-0.412427,0.38790542372881287,trap,20,1,2,1,7.2
140,-0.93439,0.34011042372881284,trap,20,1,2,1,7.24
140,-0.550135,0.3920294237288129,trap,20,1,2,1,7.28
140,-0.29316,0.45027742372881274,trap,20,1,2,1,7.32
140,0.007897,0.40240242372881285,trap,20,1,2,1,7.36
140,0.219203,0.37980742372881293,trap,20,1,2,1,7.4
140,0.384568,0.3408504237288128,trap,20,1,2,1,7.44
140,0.546862,0.38366142372881296,trap,20,1,2,1,7.48
140,0.01905,0.34181442372881277,trap,20,1,2,1,7.5200000000000005
140,-0.110835,0.3158274237288128,trap,20,1,2,1,7.5600000000000005
140,0.698783,0.39882442372881277,trap,20,1,2,1,7.6000000000000005
140,-0.075786,0.34801742372881295,trap,20,1,2,1,7.64
140,-0.713616,0.2805044237288128,trap,20,1,2,1,7.68
140,-0.701435,0.28075042372881276,trap,20,1,2,1,7.72
140,-0.404143,0.41115142372881275,trap,20,1,2,1,7.76
140,0.598708,0.4849764237288128,trap,20,1,2,1,7.8
140,0.565074,0.42840142372881296,trap,20,1,2,1,7.84
140,0.592264,0.41559042372881283,trap,20,1,2,1,7.88
140,0.537484,0.42171042372881296,trap,20,1,2,1,7.92
140,-0.060403,0.36019442372881283,trap,20,1,2,1,7.96
139.04,-1.273216,0.31874442372881284,trap,20,1,2,1,8.000000000000002
138.08,-2.005586,0.41051042372881286,trap,20,1,2,1,8.040000000000001
137.12,-3.182283,0.6435864237288129,trap,20,1,2,1,8.080000000000002
136.16,-3.659705,0.9265824237288129,trap,20,1,2,1,8.120000000000001
135.2,-3.420632,1.1954304237288127,trap,20,1,2,1,8.16
134.24,-3.663562,1.2097454237288126,trap,20,1,2,1,8.200000000000001
133.28,-3.943469,1.1855844237288131,trap,20,1,2,1,8.24
132.32,-3.66651,1.2161864237288131,trap,20,1,2,1,8.280000000000001
131.36,-3.986446,1.1606004237288128,trap,20,1,2,1,8.32
130.4,-3.567527,1.2109074237288129,trap,20,1,2,1,8.360000000000001
129.44,-3.536587,1.1605874237288132,trap,20,1,2,1,8.4
128.48,-3.323576,1.1934794237288127,trap,20,1,2,1,8.440000000000001
127.51999999999998,-3.232027,1.174984423728813,trap,20,1,2,1,8.48
126.56,-3.019454,1.1484004237288128,trap,20,1,2,1,8.520000000000001
125.6,-2.982902,1.159991423728813,trap,20,1,2,1,8.56
124.63999999999999,-2.707129,1.121113423728813,trap,20,1,2,1,8.600000000000001
123.68,-2.488884,1.1029264237288128,trap,20,1,2,1,8.64
122.72,-2.059632,1.1495984237288128,trap,20,1,2,1,8.680000000000001
121.75999999999999,-1.816042,1.171820423728813,trap,20,1,2,1,8.72
120.80000000000001,-1.456783,1.1698014237288128,trap,20,1,2,1,8.760000000000002
119.84,-1.434003,1.1289904237288126,trap,20,1,2,1,8.8
118.88,-1.437787,1.144706423728813,trap,20,1,2,1,8.840000000000002
117.92000000000002,-1.156184,1.1403724237288129,trap,20,1,2,1,8.88
116.95999999999998,-1.337787,1.093291423728813,trap,20,1,2,1,8.920000000000002
116,-0.960339,1.139273423728813,trap,20,1,2,1,8.96
115.04000000000002,-0.866458,1.110063423728813,trap,20,1,2,1,9.000000000000002
114.07999999999998,-0.467188,1.1805174237288127,trap,20,1,2,1,9.040000000000001
113.12,-0.340211,1.1455824237288128,trap,20,1,2,1,9.080000000000002
112.16,-0.247581,1.1610674237288128,trap,20,1,2,1,9.120000000000001
111.19999999999999,-0.368352,1.143404423728813,trap,20,1,2,1,9.160000000000002
110.24000000000001,-0.295924,1.1586904237288127,trap,20,1,2,1,9.200000000000001
109.28,-0.017994,1.179667423728813,trap,20,1,2,1,9.24
108.32,-0.194059,1.1586624237288128,trap,20,1,2,1,9.280000000000001
107.36,-0.100903,1.1636774237288126,trap,20,1,2,1,9.32
106.4,-0.322586,1.1191644237288128,trap,20,1,2,1,9.360000000000001
105.44,0.085763,1.1518754237288131,trap,20,1,2,1,9.4
104.48,0.052248,1.1498764237288126,trap,20,1,2,1,9.440000000000001
103.52,0.217823,1.1707264237288129,trap,20,1,2,1,9.48
102.56,0.183152,1.1728914237288126,trap,20,1,2,1,9.520000000000001
101.6,0.189508,1.165186423728813,trap,20,1,2,1,9.56
100.64,0.041377,1.139280423728813,trap,20,1,2,1,9.600000000000001
99.68,-0.128423,1.1537314237288128,trap,20,1,2,1,9.64
98.72,0.388416,1.1691664237288129,trap,20,1,2,1,9.680000000000001
97.76,0.04307,1.1615934237288126,trap,20,1,2,1,9.72
96.8,-0.058133,1.1222904237288132,trap,20,1,2,1,9.760000000000002
95.84,0.043043,1.151149423728813,trap,20,1,2,1,9.8
94.88,0.153894,1.119931423728813,trap,20,1,2,1,9.840000000000002
93.92,-0.236013,1.1258244237288129,trap,20,1,2,1,9.88
92.96,0.253478,1.1494234237288128,trap,20,1,2,1,9.920000000000002
92,-0.110649,1.111245423728813,trap,20,1,2,1,9.96
91.04,0.250721,1.1288394237288129,trap,20,1,2,1,10.000000000000002
90.08,-0.004044,1.1251964237288126,trap,20,1,2,1,10.040000000000001
89.12,0.25171,1.1474284237288128,trap,20,1,2,1,10.080000000000002
88.16,0.033031,1.1270884237288128,trap,20,1,2,1,10.120000000000001
87.2,0.229758,1.1321084237288128,trap,20,1,2,1,10.160000000000002
86.24,0.048233,1.121831423728813,trap,20,1,2,1,10.200000000000001
85.28,0.047154,1.1181134237288128,trap,20,1,2,1,10.24
84.32,0.110447,1.147572423728813,trap,20,1,2,1,10.280000000000001
83.36,0.264759,1.1650544237288132,trap,20,1,2,1,10.32
82.4,0.105283,1.123721423728813,trap,20,1,2,1,10.360000000000001
81.44,0.139196,1.128439423728813,trap,20,1,2,1,10.4
80.48,0.120553,1.143915423728813,trap,20,1,2,1,10.440000000000001
79.52,-0.104702,1.1271484237288127,trap,20,1,2,1,10.48
78.56,0.09291,1.1534264237288128,trap,20,1,2,1,10.520000000000001
77.6,0.049746,1.1008484237288128,trap,20,1,2,1,10.56
76.64,0.030566,1.1448924237288132,trap,20,1,2,1,10.600000000000001
75.68,0.230906,1.1526724237288126,trap,20,1,2,1,10.64
74.72,0.061437,1.1244474237288127,trap,20,1,2,1,10.680000000000001
73.76,0.321821,1.146806423728813,trap,20,1,2,1,10.72
72.8,0.036107,1.1377604237288128,trap,20,1,2,1,10.760000000000002
71.84,0.272911,1.218219423728813,trap,20,1,2,1,10.8
70.88,0.062378,1.1439654237288128,trap,20,1,2,1,10.840000000000002
69.92,0.230544,1.212712423728813,trap,20,1,2,1,10.88
68.96,-0.025051,1.158273423728813,trap,20,1,2,1,10.920000000000002
68,0.052534,1.1812044237288128,trap,20,1,2,1,10.96
67.04,-0.239061,1.1243004237288126,trap,20,1,2,1,11.000000000000002
66.08,-0.202925,1.1243014237288127,trap,20,1,2,1,11.040000000000001
65.12,-0.789581,1.070260423728813,trap,20,1,2,1,11.080000000000002
64.16,0.164526,1.111486423728813,trap,20,1,2,1,11.120000000000001
63.2,0.117746,1.074978423728813,trap,20,1,2,1,11.160000000000002
62.24000000000001,0.33937,1.1719954237288126,trap,20,1,2,1,11.200000000000001
61.28,0.097454,1.1557084237288129,trap,20,1,2,1,11.24
60.31999999999999,0.154054,1.144605423728813,trap,20,1,2,1,11.280000000000001
59.36,0.049462,1.1553334237288129,trap,20,1,2,1,11.32
58.400000000000006,0.085276,1.1606484237288128,trap,20,1,2,1,11.360000000000001
57.44,0.24515,1.1887564237288128,trap,20,1,2,1,11.4
56.47999999999999,0.036143,1.144757423728813,trap,20,1,2,1,11.440000000000001
55.52000000000001,-0.080605,1.1516444237288128,trap,20,1,2,1,11.48
54.56,-0.616228,1.082753423728813,trap,20,1,2,1,11.520000000000001
53.599999999999994,-0.482927,1.0772414237288126,trap,20,1,2,1,11.56
52.64,-0.171401,1.133945423728813,trap,20,1,2,1,11.600000000000001
51.68000000000001,0.07019,1.142616423728813,trap,20,1,2,1,11.64
50.72,-0.12604,1.1373074237288125,trap,20,1,2,1,11.680000000000001
49.75999999999999,0.040162,1.1224154237288129,trap,20,1,2,1,11.72
48.8,-0.076206,1.148782423728813,trap,20,1,2,1,11.760000000000002
47.84,0.143307,1.163750423728813,trap,20,1,2,1,11.8
46.879999999999995,0.105435,1.137116423728813,trap,20,1,2,1,11.840000000000002
45.92,0.370462,1.1765044237288131,trap,20,1,2,1,11.88
44.96000000000001,0.334685,1.1700244237288129,trap,20,1,2,1,11.920000000000002
44,0.059987,1.1758944237288131,trap,20,1,2,1,11.96
43.04,0.153175,1.1648674237288128,trap,20,1,2,1,12.000000000000002
42.08,-0.05091,1.1745264237288129,trap,20,1,2,1,12.040000000000001
41.12,0.208805,1.1719134237288127,trap,20,1,2,1,12.080000000000002
40.16,-0.069227,1.1292884237288126,trap,20,1,2,1,12.120000000000001
39.2,-0.017692,1.142820423728813,trap,20,1,2,1,12.160000000000002
38.24,-0.535472,1.1052204237288128,trap,20,1,2,1,12.200000000000001
37.28,-0.065552,1.1497684237288126,trap,20,1,2,1,12.240000000000002
36.32,-0.125111,1.1370484237288128,trap,20,1,2,1,12.280000000000001
35.36,0.104981,1.1717294237288127,trap,20,1,2,1,12.32
34.4,-0.358142,1.0718764237288128,trap,20,1,2,1,12.360000000000001
33.44,0.150561,1.1757774237288128,trap,20,1,2,1,12.4
32.48,-0.140539,1.1145254237288131,trap,20,1,2,1,12.440000000000001
31.519999999999996,-0.022512,1.1441444237288125,trap,20,1,2,1,12.48
30.560000000000002,-0.185767,1.1216554237288128,trap,20,1,2,1,12.520000000000001
29.6,-0.175185,1.0985934237288129,trap,20,1,2,1,12.56
28.64,0.068516,1.1432694237288128,trap,20,1,2,1,12.600000000000001
27.68,0.246927,1.1561484237288127,trap,20,1,2,1,12.64
26.72,0.453912,1.204983423728813,trap,20,1,2,1,12.680000000000001
25.760000000000005,-0.034915,1.1265264237288128,trap,20,1,2,1,12.72
24.799999999999997,0.213713,1.1544424237288131,trap,20,1,2,1,12.760000000000002
23.840000000000003,-0.369547,1.1133124237288128,trap,20,1,2,1,12.8
22.879999999999995,-0.142661,1.114664423728813,trap,20,1,2,1,12.840000000000002
21.92,0.031348,1.1299854237288132,trap,20,1,2,1,12.88
20.96,0.211526,1.1481644237288131,trap,20,1,2,1,12.920000000000002
20.96,1.074958,0.38176142372881294,trap,20,1,2,2,0
21.92,2.655014,0.5044854237288128,trap,20,1,2,2,0.04
22.879999999999995,2.622645,0.6176864237288129,trap,20,1,2,2,0.07999999999999999
