set_point,position_error,current,profile,load,run,fault_type,group,time
20.96,0.388214,0.45878610805084774,trap,20,1,1,1,0
21.92,1.092253,0.3352121080508479,trap,20,1,1,1,0.04
22.879999999999995,2.738477,0.32683310805084775,trap,20,1,1,1,0.07999999999999999
23.840000000000003,4.020452,0.6543091080508479,trap,20,1,1,1,0.12
24.799999999999997,4.258872,0.8587571080508478,trap,20,1,1,1,0.16
25.760000000000005,4.496024,0.8958091080508479,trap,20,1,1,1,0.19999999999999998
26.72,4.346436,0.8199221080508479,trap,20,1,1,1,0.24000000000000002
27.68,4.819069,0.8811411080508478,trap,20,1,1,1,0.28
28.64,4.881238,0.7883981080508478,trap,20,1,1,1,0.32
29.6,4.527209,0.7371961080508478,trap,20,1,1,1,0.36000000000000004
30.560000000000002,4.695188,0.7656721080508477,trap,20,1,1,1,0.4
31.519999999999996,4.530521,0.7382441080508477,trap,20,1,1,1,0.44
32.48,4.317421,0.7687161080508478,trap,20,1,1,1,0.48000000000000004
33.44,3.667343,0.6868491080508479,trap,20,1,1,1,0.52
34.4,3.18234,0.6800911080508478,trap,20,1,1,1,0.5599999999999999
35.36,2.998279,0.7262851080508479,trap,20,1,1,1,0.6
36.32,2.643325,0.7597241080508479,trap,20,1,1,1,0.64
37.28,2.525686,0.7922541080508478,trap,20,1,1,1,0.6799999999999999
38.24,2.129372,0.7911891080508477,trap,20,1,1,1,0.72
39.2,1.729382,0.7890161080508478,trap,20,1,1,1,0.76
40.16,1.275908,0.7996981080508478,trap,20,1,1,1,0.7999999999999999
41.12,1.161622,0.8115881080508478,trap,20,1,1,1,0.84
42.08,0.748129,0.8165531080508479,trap,20,1,1,1,0.88
43.04,0.139963,0.7848451080508478,trap,20,1,1,1,0.9199999999999999
44,0.020693,0.8553851080508479,trap,20,1,1,1,0.96
44.96000000000001,-0.208121,0.8308271080508478,trap,20,1,1,1,1
45.92,-0.432099,0.8444151080508477,trap,20,1,1,1,1.04
46.879999999999995,-0.288468,0.9041501080508478,trap,20,1,1,1,1.08
47.84,-0.272841,0.8551891080508478,trap,20,1,1,1,1.1199999999999999
48.8,-0.52306,0.8526991080508477,trap,20,1,1,1,1.16
49.75999999999999,-0.640531,0.8482161080508479,trap,20,1,1,1,1.2
50.72,-0.60002200000000006,0.8883821080508478,trap,20,1,1,1,1.24
51.68000000000001,-0.04332,0.9053761080508478,trap,20,1,1,1,1.28
52.64,-0.701227,0.8678381080508477,trap,20,1,1,1,1.32
53.599999999999994,-1.674297,0.7456451080508477,trap,20,1,1,1,1.36
54.56,-0.282028,0.9168881080508477,trap,20,1,1,1,1.4
55.52000000000001,-0.548144,0.8689081080508478,trap,20,1,1,1,1.44
56.47999999999999,-0.123127,0.8890371080508479,trap,20,1,1,1,1.48
57.44,-0.009969,0.8703091080508478,trap,20,1,1,1,1.52
58.400000000000006,-0.343591,0.7879651080508479,trap,20,1,1,1,1.56
59.36,0.649268,0.8947761080508478,trap,20,1,1,1,1.6
60.31999999999999,0.469743,0.8389601080508478,trap,20,1,1,1,1.64
61.28,0.833791,0.8844881080508478,trap,20,1,1,1,1.68
62.24000000000001,0.835167,0.8760151080508478,trap,20,1,1,1,1.72
63.2,0.816798,0.8582821080508478,trap,20,1,1,1,1.76
64.16,1.010115,0.8798091080508479,trap,20,1,1,1,1.8
65.12,0.936082,0.8700081080508477,trap,20,1,1,1,1.84
66.08,0.694313,0.8687711080508478,trap,20,1,1,1,1.88
67.04,0.276599,0.8239551080508478,trap,20,1,1,1,1.92
68,0.300531,0.8479811080508477,trap,20,1,1,1,1.96
68.96,0.139581,0.8897831080508478,trap,20,1,1,1,2
69.92,-0.184339,0.8369831080508479,trap,20,1,1,1,2.04
70.88,-0.290838,0.8753991080508479,trap,20,1,1,1,2.08
71.84,-0.34787,0.8864341080508478,trap,20,1,1,1,2.12
72.8,-0.259758,0.9129271080508479,trap,20,1,1,1,2.16
73.76,-0.129005,0.9288121080508478,trap,20,1,1,1,2.2
74.72,-0.039096,0.9682671080508476,trap,20,1,1,1,2.24
75.68,0.066807,0.981023108050848,trap,20,1,1,1,2.28
76.64,0.00401,0.9329761080508476,trap,20,1,1,1,2.32
77.6,-0.418183,0.8513491080508477,trap,20,1,1,1,2.36
78.56,-0.390355,0.8871611080508479,trap,20,1,1,1,2.4
79.52,-0.428893,0.8876221080508477,trap,20,1,1,1,2.44
80.48,-1.149092,0.8485671080508479,trap,20,1,1,1,2.48
81.44,-1.621937,0.8793501080508479,trap,20,1,1,1,2.52
82.4,-0.686222,0.9689021080508475,trap,20,1,1,1,2.56
83.36,-0.80902,0.9148481080508477,trap,20,1,1,1,2.6
84.32,-0.296121,0.8999121080508479,trap,20,1,1,1,2.64
85.28,-0.37939,0.8765061080508478,trap,20,1,1,1,2.68
86.24,-0.152083,0.8789071080508477,trap,20,1,1,1,2.72
87.2,-0.03656,0.8786471080508478,trap,20,1,1,1,2.7600000000000002
88.16,-0.411404,0.7854021080508478,trap,20,1,1,1,2.8
89.12,0.022198,0.85787410805084785,trap,20,1,1,1,2.84
90.08,0.287551,0.8649731080508478,trap,20,1,1,1,2.88
91.04,0.082287,0.7782771080508477,trap,20,1,1,1,2.92
92,0.70003,0.8277601080508479,trap,20,1,1,1,2.96
92.96,0.443792,0.8010491080508477,trap,20,1,1,1,3
93.92,0.859746,0.8498811080508477,trap,20,1,1,1,3.04
94.88,0.845503,0.8135391080508478,trap,20,1,1,1,3.08
95.84,1.008369,0.8650101080508479,trap,20,1,1,1,3.12
96.8,0.737635,0.7758571080508478,trap,20,1,1,1,3.16
97.76,0.594671,0.8303421080508477,trap,20,1,1,1,3.2
98.72,0.652424,0.8307881080508479,trap,20,1,1,1,3.24
99.68,0.448011,0.8622101080508477,trap,20,1,1,1,3.2800000000000002
100.64,0.47998,0.8117151080508478,trap,20,1,1,1,3.32
101.6,0.490164,0.9188261080508477,trap,20,1,1,1,3.36
102.56,0.244276,0.8390821080508477,trap,20,1,1,1,3.4
103.52,0.290671,0.8782241080508477,trap,20,1,1,1,3.44
104.48,0.138506,0.8796661080508479,trap,20,1,1,1,3.48
105.44,0.32115,0.934415108050848,trap,20,1,1,1,3.52
106.4,0.115063,0.9168761080508478,trap,20,1,1,1,3.56
107.36,-0.213365,0.8576751080508478,trap,20,1,1,1,3.6
108.32,-0.188482,0.9069311080508478,trap,20,1,1,1,3.64
109.28,-0.325353,0.8687921080508478,trap,20,1,1,1,3.68
110.24000000000001,-0.888525,0.8484021080508477,trap,20,1,1,1,3.72
111.19999999999999,-2.033948,0.7915121080508478,trap,20,1,1,1,3.7600000000000002
112.16,-0.767258,0.9227581080508478,trap,20,1,1,1,3.8
113.12,-1.246048,0.8611341080508479,trap,20,1,1,1,3.84
114.07999999999998,-0.593317,0.9348751080508475,trap,20,1,1,1,3.88
115.04000000000002,-0.59434,0.8787351080508479,trap,20,1,1,1,3.92
116,-0.156908,0.9030651080508478,trap,20,1,1,1,3.96
116.95999999999998,-0.257345,0.8764381080508479,trap,20,1,1,1,4
117.92000000000002,-0.005712,0.8895681080508477,trap,20,1,1,1,4.04
118.88,-0.161487,0.8328901080508477,trap,20,1,1,1,4.08
119.84,0.140747,0.8152671080508478,trap,20,1,1,1,4.12
120.80000000000001,0.074624,0.8195691080508478,trap,20,1,1,1,4.16
121.75999999999999,0.290164,0.8420691080508478,trap,20,1,1,1,4.2
122.72,0.115452,0.8069811080508478,trap,20,1,1,1,4.24
123.68,0.156804,0.8138471080508478,trap,20,1,1,1,4.28
124.63999999999999,-0.210777,0.7514001080508479,trap,20,1,1,1,4.32
125.6,0.349207,0.8243361080508478,trap,20,1,1,1,4.36
126.56,0.664203,0.8708621080508478,trap,20,1,1,1,4.4
127.51999999999998,1.049556,0.8968581080508478,trap,20,1,1,1,4.44
128.48,1.051688,0.8612271080508478,trap,20,1,1,1,4.48
129.44,0.483436,0.7600031080508478,trap,20,1,1,1,4.5200000000000005
130.4,0.665365,0.8351121080508479,trap,20,1,1,1,4.5600000000000005
131.36,0.62239,0.8109981080508477,trap,20,1,1,1,4.6
132.32,0.034387,0.8058441080508478,trap,20,1,1,1,4.64
133.28,0.022232,0.8431891080508478,trap,20,1,1,1,4.68
134.24,-0.174649,0.8202051080508479,trap,20,1,1,1,4.72
135.2,-0.100212,0.8585711080508478,trap,20,1,1,1,4.76
136.16,0.121297,0.9104161080508477,trap,20,1,1,1,4.8
137.12,0.064134,0.9060411080508477,trap,20,1,1,1,4.84
138.08,0.036335,0.8980021080508478,trap,20,1,1,1,4.88
139.04,-0.033565,0.8718681080508479,trap,20,1,1,1,4.92
140,-0.290044,0.8553181080508478,trap,20,1,1,1,4.96
140,-0.948442,0.9200831080508478,trap,20,1,1,1,5
140,-2.188084,0.9439821080508477,trap,20,1,1,1,5.04
140,-3.062348,0.9530891080508479,trap,20,1,1,1,5.08
140,-3.831429,0.8430491080508478,trap,20,1,1,1,5.12
140,-4.257852,0.6197131080508478,trap,20,1,1,1,5.16
140,-4.395466,0.4348211080508477,trap,20,1,1,1,5.2
140,-5.115886,0.27026610805084794,trap,20,1,1,1,5.24
140,-5.044813,0.4262031080508477,trap,20,1,1,1,5.28
140,-5.055043,0.5711261080508478,trap,20,1,1,1,5.32
140,-4.395989,0.7167091080508479,trap,20,1,1,1,5.36
140,-3.750885,0.7918651080508479,trap,20,1,1,1,5.4
140,-3.510719,0.6873021080508479,trap,20,1,1,1,5.44
140,-3.358581,0.6023751080508477,trap,20,1,1,1,5.48
140,-2.764405,0.6871591080508479,trap,20,1,1,1,5.5200000000000005
140,-2.782825,0.5972931080508479,trap,20,1,1,1,5.5600000000000005
140,-2.28652,0.6110551080508477,trap,20,1,1,1,5.6
140,-2.139371,0.5884441080508478,trap,20,1,1,1,5.64
140,-2.10071,0.5298141080508478,trap,20,1,1,1,5.68
140,-1.542928,0.5890271080508478,trap,20,1,1,1,5.72
140,-1.6493,0.5072641080508478,trap,20,1,1,1,5.76
140,-1.5311110000000001,0.47533810805084786,trap,20,1,1,1,5.8
140,-1.118729,0.5385481080508479,trap,20,1,1,1,5.84
140,-1.082652,0.4697911080508479,trap,20,1,1,1,5.88
140,-1.211809,0.3962371080508478,trap,20,1,1,1,5.92
140,-0.729236,0.48603210805084784,trap,20,1,1,1,5.96
140,-0.42087,0.4624571080508477,trap,20,1,1,1,6
140,0.165652,0.4561361080508477,trap,20,1,1,1,6.04
140,-0.5649,0.2725271080508478,trap,20,1,1,1,6.08
140,0.907893,0.4570431080508479,trap,20,1,1,1,6.12
140,-0.258285,0.3171441080508479,trap,20,1,1,1,6.16
140,-0.024498,0.3121721080508477,trap,20,1,1,1,6.2
140,0.145941,0.3201631080508478,trap,20,1,1,1,6.24
140,0.423612,0.3115301080508479,trap,20,1,1,1,6.28
140,-0.074243,0.24260810805084776,trap,20,1,1,1,6.32
140,0.555694,0.32483710805084787,trap,20,1,1,1,6.36
140,0.575207,0.35897410805084773,trap,20,1,1,1,6.4
140,0.743974,0.38398510805084785,trap,20,1,1,1,6.44
140,1.155148,0.46008310805084784,trap,20,1,1,1,6.48
140,0.885515,0.5017391080508478,trap,20,1,1,1,6.5200000000000005
140,0.44134,0.5090801080508478,trap,20,1,1,1,6.5600000000000005
140,0.475586,0.4807171080508479,trap,20,1,1,1,6.6000000000000005
140,-0.143791,0.37763010805084773,trap,20,1,1,1,6.64
140,-0.789797,0.28847010805084783,trap,20,1,1,1,6.68
140,-0.162885,0.35499410805084786,trap,20,1,1,1,6.72
140,-0.524073,0.3471121080508479,trap,20,1,1,1,6.76
140,0.429553,0.4167671080508477,trap,20,1,1,1,6.8
140,0.296347,0.4315451080508479,trap,20,1,1,1,6.84
140,-0.136892,0.3598691080508478,trap,20,1,1,1,6.88
140,0.388419,0.4183601080508479,trap,20,1,1,1,6.92
140,0.73485,0.44384810805084784,trap,20,1,1,1,6.96
140,-0.433931,0.3767221080508478,trap,20,1,1,1,7
140,-0.490939,0.3646871080508478,trap,20,1,1,1,7.04
140,0.292838,0.4375061080508478,trap,20,1,1,1,7.08
140,-0.364046,0.3539431080508477,trap,20,1,1,1,7.12
140,-0.172193,0.3690611080508479,trap,20,1,1,1,7.16
140,-0.371785,0.3198431080508477,trap,20,1,1,1,7.2
140,0.239656,0.36825610805084774,trap,20,1,1,1,7.24
140,-0.23924,0.36214410805084785,trap,20,1,1,1,7.28
140,-0.118472,0.36185510805084786,trap,20,1,1,1,7.32
140,0.144867,0.3747941080508479,trap,20,1,1,1,7.36
140,0.516304,0.41961810805084787,trap,20,1,1,1,7.4
140,0.28579,0.4407231080508478,trap,20,1,1,1,7.44
140,0.36422,0.4749411080508479,trap,20,1,1,1,7.48
140,0.077666,0.45408310805084784,trap,20,1,1,1,7.5200000000000005
140,-0.117546,0.43178410805084777,trap,20,1,1,1,7.5600000000000005
140,-0.165501,0.3983001080508477,trap,20,1,1,1,7.6000000000000005
140,0.017846,0.4032301080508478,trap,20,1,1,1,7.64
140,-0.32332,0.3587111080508478,trap,20,1,1,1,7.68
140,-0.095695,0.3917551080508479,trap,20,1,1,1,7.72
140,-0.769411,0.3121831080508477,trap,20,1,1,1,7.76
140,-0.67321,0.35298210805084773,trap,20,1,1,1,7.8
140,-0.970858,0.3910031080508478,trap,20,1,1,1,7.84
140,-0.847225,0.4314871080508478,trap,20,1,1,1,7.88
140,-0.779665,0.4424071080508478,trap,20,1,1,1,7.92
140,-0.062071,0.5257991080508477,trap,20,1,1,1,7.96
139.04,-1.184447,0.4032481080508479,trap,20,1,1,1,8.000000000000002
138.08,-1.729058,0.48836410805084784,trap,20,1,1,1,8.040000000000001
137.12,-2.25767,0.7569111080508477,trap,20,1,1,1,8.080000000000002
136.16,-3.524553,0.8253741080508479,trap,20,1,1,1,8.120000000000001
135.2,-3.797223,1.0282741080508477,trap,20,1,1,1,8.16
134.24,-3.669798,1.1576561080508478,trap,20,1,1,1,8.200000000000001
133.28,-3.565514,1.146340108050848,trap,20,1,1,1,8.24
132.32,-3.248956,1.1417641080508478,trap,20,1,1,1,8.280000000000001
131.36,-3.643527,1.1232061080508478,trap,20,1,1,1,8.32
130.4,-3.402081,1.1276301080508475,trap,20,1,1,1,8.360000000000001
129.44,-3.361214,1.1578941080508478,trap,20,1,1,1,8.4
128.48,-3.170342,1.165200108050848,trap,20,1,1,1,8.440000000000001
127.51999999999998,-2.669655,1.1062501080508478,trap,20,1,1,1,8.48
126.56,-2.750661,1.092794108050848,trap,20,1,1,1,8.520000000000001
125.6,-2.753092,1.1265061080508476,trap,20,1,1,1,8.56
124.63999999999999,-2.774179,1.0948151080508481,trap,20,1,1,1,8.600000000000001
123.68,-2.436543,1.065972108050848,trap,20,1,1,1,8.64
122.72,-1.943308,1.094484108050848,trap,20,1,1,1,8.680000000000001
121.75999999999999,-2.277689,1.0207841080508475,trap,20,1,1,1,8.72
120.80000000000001,-2.219405,1.0489271080508475,trap,20,1,1,1,8.760000000000002
119.84,-1.468891,1.057673108050848,trap,20,1,1,1,8.8
118.88,-1.468537,1.0478661080508476,trap,20,1,1,1,8.840000000000002
117.92000000000002,-1.321735,1.0627971080508478,trap,20,1,1,1,8.88
116.95999999999998,-1.181057,1.0878721080508476,trap,20,1,1,1,8.920000000000002
116,-0.574485,1.1269251080508476,trap,20,1,1,1,8.96
115.04000000000002,-0.427226,1.0841171080508476,trap,20,1,1,1,9.000000000000002
114.07999999999998,-0.3,1.1308661080508478,trap,20,1,1,1,9.040000000000001
113.12,-0.209009,1.1488281080508476,trap,20,1,1,1,9.080000000000002
112.16,-0.140648,1.179986108050848,trap,20,1,1,1,9.120000000000001
111.19999999999999,-0.123632,1.1476571080508478,trap,20,1,1,1,9.160000000000002
110.24000000000001,0.257815,1.1789471080508476,trap,20,1,1,1,9.200000000000001
109.28,-0.147508,1.1017441080508477,trap,20,1,1,1,9.24
108.32,-0.203532,1.1471421080508477,trap,20,1,1,1,9.280000000000001
107.36,0.177321,1.1480261080508478,trap,20,1,1,1,9.32
106.4,0.1283,1.1488031080508476,trap,20,1,1,1,9.360000000000001
105.44,0.14337,1.2050241080508475,trap,20,1,1,1,9.4
104.48,0.255204,1.1916641080508479,trap,20,1,1,1,9.440000000000001
103.52,0.056372,1.1470171080508476,trap,20,1,1,1,9.48
102.56,-0.064494,1.1898951080508475,trap,20,1,1,1,9.520000000000001
101.6,0.04993,1.179770108050848,trap,20,1,1,1,9.56
100.64,-0.170811,1.165072108050848,trap,20,1,1,1,9.600000000000001
99.68,-0.074068,1.134203108050848,trap,20,1,1,1,9.64
98.72,0.240545,1.1903151080508476,trap,20,1,1,1,9.680000000000001
97.76,-0.139331,1.163833108050848,trap,20,1,1,1,9.72
96.8,0.005583,1.2151301080508479,trap,20,1,1,1,9.760000000000002
95.84,0.054629,1.152014108050848,trap,20,1,1,1,9.8
94.88,0.137489,1.1853921080508478,trap,20,1,1,1,9.840000000000002
93.92,-0.135287,1.1571471080508478,trap,20,1,1,1,9.88
92.96,-0.133052,1.111005108050848,trap,20,1,1,1,9.920000000000002
92,0.102187,1.1966191080508477,trap,20,1,1,1,9.96
91.04,-0.089725,1.1219071080508478,trap,20,1,1,1,10.000000000000002
90.08,0.101526,1.181682108050848,trap,20,1,1,1,10.040000000000001
89.12,0.106652,1.121699108050848,trap,20,1,1,1,10.080000000000002
88.16,0.004685,1.143481108050848,trap,20,1,1,1,10.120000000000001
87.2,-0.054939,1.1889591080508477,trap,20,1,1,1,10.160000000000002
86.24,0.100149,1.193698108050848,trap,20,1,1,1,10.200000000000001
85.28,-0.053356,1.130411108050848,trap,20,1,1,1,10.24
84.32,0.001396,1.150223108050848,trap,20,1,1,1,10.280000000000001
83.36,-0.150728,1.1487941080508481,trap,20,1,1,1,10.32
82.4,-0.411713,1.0950081080508476,trap,20,1,1,1,10.360000000000001
81.44,-0.155795,1.157244108050848,trap,20,1,1,1,10.4
80.48,-0.352036,1.072714108050848,trap,20,1,1,1,10.440000000000001
79.52,-0.295109,1.0880131080508477,trap,20,1,1,1,10.48
78.56,-0.643207,1.019411108050848,trap,20,1,1,1,10.520000000000001
77.6,-0.373875,1.0112581080508478,trap,20,1,1,1,10.56
76.64,0.328035,1.133810108050848,trap,20,1,1,1,10.600000000000001
75.68,0.265748,1.0916081080508475,trap,20,1,1,1,10.64
74.72,0.688426,1.1603061080508479,trap,20,1,1,1,10.680000000000001
73.76,0.506039,1.1645991080508475,trap,20,1,1,1,10.72
72.8,0.532814,1.1994581080508475,trap,20,1,1,1,10.760000000000002
71.84,0.084194,1.127373108050848,trap,20,1,1,1,10.8
70.88,0.092902,1.133327108050848,trap,20,1,1,1,10.840000000000002
69.92,-0.641051,1.0302601080508478,trap,20,1,1,1,10.88
68.96,-0.76221,0.9904751080508476,trap,20,1,1,1,10.920000000000002
68,-0.25827,1.0437221080508479,trap,20,1,1,1,10.96
67.04,-0.071982,1.0093991080508478,trap,20,1,1,1,11.000000000000002
66.08,0.362034,1.1131811080508476,trap,20,1,1,1,11.040000000000001
65.12,0.313427,1.107739108050848,trap,20,1,1,1,11.080000000000002
64.16,0.406741,1.1219201080508479,trap,20,1,1,1,11.120000000000001
63.2,0.474922,1.1288361080508478,trap,20,1,1,1,11.160000000000002
62.24000000000001,0.252254,1.1352511080508478,trap,20,1,1,1,11.200000000000001
61.28,0.513199,1.162670108050848,trap,20,1,1,1,11.24
60.31999999999999,0.505913,1.1742471080508479,trap,20,1,1,1,11.280000000000001
59.36,0.619782,1.2153011080508478,trap,20,1,1,1,11.32
58.400000000000006,0.301891,1.166522108050848,trap,20,1,1,1,11.360000000000001
57.44,0.168399,1.1843841080508477,trap,20,1,1,1,11.4
56.47999999999999,-0.408703,1.1104231080508475,trap,20,1,1,1,11.440000000000001
55.52000000000001,-0.443711,1.1018271080508477,trap,20,1,1,1,11.48
