set_point,position_error,current,profile,load,run,fault_type,group,time
20.96,0.952702,0.4460519152542374,trap,20,1,4,1,0
21.92,1.056852,0.5579469152542375,trap,20,1,4,1,0.04
22.879999999999995,1.942038,0.5440309152542374,trap,20,1,4,1,0.07999999999999999
23.840000000000003,3.364832,0.5854129152542374,trap,20,1,4,1,0.12
24.799999999999997,3.88898,0.8172089152542373,trap,20,1,4,1,0.16
25.760000000000005,3.711869,0.9806619152542374,trap,20,1,4,1,0.19999999999999998
26.72,4.189707,0.8450899152542376,trap,20,1,4,1,0.24000000000000002
27.68,4.581744,0.8218199152542375,trap,20,1,4,1,0.28
28.64,4.65802,0.7757979152542375,trap,20,1,4,1,0.32
29.6,4.55704,0.6780909152542375,trap,20,1,4,1,0.36000000000000004
30.560000000000002,4.012393,0.5953259152542375,trap,20,1,4,1,0.4
31.519999999999996,4.194399,0.5954889152542374,trap,20,1,4,1,0.44
32.480000000000004,3.706143,0.6390239152542373,trap,20,1,4,1,0.48000000000000004
33.44,3.680321,0.5108959152542375,trap,20,1,4,1,0.52
34.4,3.048825,0.5324839152542374,trap,20,1,4,1,0.5599999999999999
35.36,2.380714,0.5934569152542375,trap,20,1,4,1,0.6
36.32,2.2516,0.5586609152542374,trap,20,1,4,1,0.64
37.28,2.093508,0.6174379152542374,trap,20,1,4,1,0.6799999999999999
38.24,1.793467,0.5860449152542374,trap,20,1,4,1,0.72
39.2,1.337295,0.6091999152542374,trap,20,1,4,1,0.76
40.16,1.523,0.6210679152542374,trap,20,1,4,1,0.7999999999999999
41.12,0.942883,0.7219849152542374,trap,20,1,4,1,0.84
42.08,0.97076,0.5713639152542375,trap,20,1,4,1,0.88
43.04,0.703938,0.6457439152542374,trap,20,1,4,1,0.9199999999999999
44,0.757111,0.6913189152542375,trap,20,1,4,1,0.96
44.96,0.092161,0.7033019152542376,trap,20,1,4,1,1
45.92,-0.28942,0.7090509152542374,trap,20,1,4,1,1.04
46.88,0.373958,0.7222599152542376,trap,20,1,4,1,1.08
47.84,0.367393,0.7108929152542375,trap,20,1,4,1,1.1199999999999999
48.8,0.279195,0.7342639152542375,trap,20,1,4,1,1.16
49.75999999999999,-0.095708,0.8029229152542375,trap,20,1,4,1,1.2
50.72,-0.015856,0.7758969152542373,trap,20,1,4,1,1.24
51.68000000000001,0.130895,0.7067099152542374,trap,20,1,4,1,1.28
52.64,-0.028151,0.6789109152542375,trap,20,1,4,1,1.32
53.599999999999994,0.071347,0.7594159152542376,trap,20,1,4,1,1.36
54.56,-0.110714,0.7416969152542375,trap,20,1,4,1,1.4
55.52000000000001,-0.148843,0.7631459152542376,trap,20,1,4,1,1.44
56.47999999999999,-0.088768,0.7162879152542373,trap,20,1,4,1,1.48
57.44,-0.281131,0.7689739152542373,trap,20,1,4,1,1.52
58.400000000000006,-0.306592,0.7782359152542374,trap,20,1,4,1,1.56
59.36,-0.332101,0.8468519152542374,trap,20,1,4,1,1.6
60.31999999999999,-0.374732,0.8395269152542376,trap,20,1,4,1,1.64
61.28,-0.39983,0.8022709152542374,trap,20,1,4,1,1.68
62.24000000000001,-0.023919,0.7285409152542376,trap,20,1,4,1,1.72
63.2,-0.447248,0.8179989152542374,trap,20,1,4,1,1.76
64.16,-0.497836,0.8653989152542373,trap,20,1,4,1,1.8
65.12,-0.362589,0.8901399152542374,trap,20,1,4,1,1.84
66.08,-0.015136,0.8315639152542375,trap,20,1,4,1,1.88
67.03999999999999,-0.005975,0.8169329152542374,trap,20,1,4,1,1.92
68,0.252468,0.7312639152542376,trap,20,1,4,1,1.96
68.96000000000001,0.426438,0.7594769152542374,trap,20,1,4,1,2
69.92,0.547916,0.7070729152542375,trap,20,1,4,1,2.04
70.88,0.279135,0.7376459152542375,trap,20,1,4,1,2.08
71.84,-0.013678,0.7276919152542375,trap,20,1,4,1,2.12
72.8,-0.545137,0.7754559152542374,trap,20,1,4,1,2.16
73.76,0.170954,0.7505549152542376,trap,20,1,4,1,2.2
74.72,-0.151022,0.8660889152542374,trap,20,1,4,1,2.24
75.68,0.041455,0.7509709152542375,trap,20,1,4,1,2.28
76.64,0.151129,0.7780639152542373,trap,20,1,4,1,2.32
