set_point,position_error,current
20.96,1.451152,0.3515145423728816
21.92,2.31642,0.3377932372549017
22.879999999999995,3.389307,0.6982022372549017
23.840000000000003,3.700479,0.9707712372549018
24.8,4.249306,1.1581762372549018
25.760000000000005,4.691851,1.1697682372549016
26.72,4.856114,1.2401582372549018
27.68,4.677486,1.2018122372549016
28.64,4.536003,1.2237072372549018
29.6,4.301655,1.1710372372549018
30.56,3.911136,1.1796312372549018
31.52,3.586263,1.1695812372549017
32.48,3.195738,1.200671237254902
33.44,2.681405,1.1658892372549017
34.4,2.415925,1.136703237254902
35.36,2.124782,1.167991237254902
36.32,1.488039,1.1254172372549018
37.28,1.331694,1.0911262372549018
38.24,0.880351,1.048506237254902
39.2,0.680788,1.0340462372549015
40.16,0.718726,1.109917237254902
41.12,0.571377,1.1149342372549016
42.08,0.866416,1.152658237254902
43.04,0.799085,1.0985532372549016
44.0,0.905053,1.158952237254902
44.96000000000001,1.166237,1.2546682372549018
45.92,1.047148,1.195857237254902
46.88,0.856182,1.1609112372549018
47.84,0.572643,1.1464712372549015
48.8,0.254905,1.1425632372549015
49.75999999999999,0.10764,1.207717237254902
50.72,-0.024134,1.176827237254902
51.68000000000001,-0.075852,1.1306212372549018
52.64,-0.211791,1.143585237254902
53.6,-0.263832,1.1590172372549017
54.56,-0.3998,1.143311237254902
55.52000000000001,-0.413321,1.1503212372549017
56.47999999999999,-1.079691,1.0313482372549017
57.44,-1.069766,1.0239742372549017
58.400000000000006,-0.742909,1.068906237254902
59.36,-0.227993,1.1476272372549017
60.31999999999999,0.238853,1.170028237254902
61.28,0.214613,1.1594202372549016
62.24000000000001,0.409248,1.1355872372549018
63.2,0.547745,1.1606782372549016
64.16,0.717441,1.200474237254902
65.12,0.487931,1.1877922372549017
66.08,0.408804,1.1862062372549016
67.04,0.302695,1.1825532372549017
68.0,0.303719,1.184248237254902
68.96,0.142304,1.1624322372549016
69.92,0.081523,1.1964442372549018
70.88,-0.133559,1.200801237254902
71.84,-0.094301,1.1980982372549016
72.8,-0.451732,1.111674237254902
73.76,-0.241154,1.1369112372549015
74.72,-0.321072,1.1531392372549016
75.68,-0.437456,1.1668322372549016
76.64,-0.405485,1.1362662372549015
77.6,-0.781986,1.0685862372549015
78.56,-0.688261,1.0577082372549016
79.52,-1.028907,1.0415392372549015
80.48,-0.771431,1.0577152372549017
81.44,-0.451977,1.083667237254902
82.4,-0.730459,1.0417132372549018
83.36,0.269388,1.102987237254902
84.32,0.271761,1.075772237254902
85.28,1.119392,1.141237237254902
86.24,1.184716,1.202558237254902
87.2,0.902525,1.192292237254902
88.16,0.968556,1.1875322372549018
89.12,0.662144,1.135756237254902
90.08,0.419603,1.097691237254902
91.04,-0.18647,1.0998412372549018
92.0,-0.345348,1.1194782372549017
92.96,-0.688976,1.0633342372549015
93.92,0.173565,1.126730237254902
94.88,-0.035405,1.097901237254902
95.84,0.400445,1.1997382372549017
96.8,0.391089,1.1958712372549016
97.76,0.356236,1.1875032372549017
98.72,-0.030967,1.1073032372549017
99.68,0.121594,1.1582552372549018
100.64,-0.313371,1.1005182372549018
101.6,-0.317973,1.146326237254902
102.56,-0.429186,1.1142522372549015
103.52,-0.995333,1.0179892372549018
104.48,-0.342702,1.092887237254902
105.44,-0.516206,1.068436237254902
106.4,-0.225253,1.1205462372549018
107.36,-0.438463,1.0650992372549015
108.32,-0.082964,1.122927237254902
109.28,0.082881,1.0907092372549017
110.24,0.314124,1.0828592372549015
111.2,0.624728,1.1251852372549018
112.16,0.541256,1.150291237254902
113.12,0.45431,1.173929237254902
114.07999999999998,0.61387,1.150746237254902
115.04000000000002,0.600039,1.140534237254902
116.0,0.197712,1.135505237254902
116.95999999999998,0.093047,1.1449012372549017
117.92000000000002,-0.246573,1.1283162372549016
118.88,0.081694,1.099915237254902
119.84,-0.188565,1.1167402372549018
120.8,-0.545341,1.0199392372549017
121.76,-0.821337,1.0749592372549015
122.72,-0.523331,1.135731237254902
123.68,-0.036737,1.1703302372549016
124.64,0.343115,1.1362562372549017
125.6,0.353971,1.126635237254902
126.56,0.499566,1.1712302372549015
127.51999999999998,0.217001,1.1681872372549018
128.48,0.192369,1.1947062372549018
129.44,0.093141,1.1335172372549016
130.4,0.073421,1.1355412372549016
131.36,-0.025668,1.129704237254902
132.32,-0.177276,1.1766732372549018
133.28,-0.190704,1.177027237254902
134.24,-0.079034,1.159238237254902
135.2,0.160122,1.1614062372549017
136.16,0.221292,1.1743922372549018
137.12,-0.100498,1.2014062372549017
138.08,-0.084834,1.2364172372549016
139.04,0.033578,1.227962237254902
140.0,-0.055847,1.1445172372549015
140.0,-0.967245,1.183031237254902
140.0,-2.361285,1.1655972372549015
140.0,-3.568399,1.0692472372549016
140.0,-3.977594,0.7686552372549016
140.0,-4.530417,0.5610575423728816
140.0,-4.900244,0.3775815423728816
140.0,-4.881452,0.3571695423728815
140.0,-4.747587,0.4576665423728816
140.0,-4.693469,0.5071635423728815
140.0,-4.458998,0.5494065423728816
140.0,-3.675263,0.6589995423728816
140.0,-3.429363,0.5972975423728817
140.0,-3.001358,0.5527955423728816
140.0,-2.62767,0.5385225423728817
140.0,-1.950884,0.5705755423728816
140.0,-1.478385,0.5328885423728815
140.0,-1.148406,0.4730395423728817
140.0,-0.99612,0.4299535423728815
140.0,-1.260687,0.3525925423728815
140.0,-1.271895,0.3746295423728816
140.0,-1.436933,0.3735975423728817
140.0,-1.003255,0.4443235423728815
140.0,-0.901389,0.4351215423728816
140.0,-0.728525,0.4124915423728816
140.0,-0.898391,0.3529955423728816
140.0,-0.792051,0.3713025423728815
140.0,-0.643828,0.4095405423728817
140.0,-0.771079,0.3520585423728817
140.0,-0.498172,0.3819395423728815
140.0,-0.420747,0.3763295423728816
140.0,-0.439646,0.3352855423728815
140.0,-0.442303,0.3293935423728815
140.0,-0.417481,0.3257615423728817
140.0,-0.313167,0.3112615423728817
140.0,-0.088765,0.3432015423728816
140.0,0.095527,0.3269955423728816
140.0,0.141097,0.3015975423728816
140.0,-0.151449,0.2246765423728816
140.0,-0.446288,0.2085395423728815
140.0,-0.030753,0.2841125423728816
140.0,0.221768,0.3242935423728816
140.0,0.33756,0.2600655423728817
140.0,0.79045,0.3129825423728816
140.0,0.419533,0.2598655423728817
140.0,0.726686,0.3545715423728817
140.0,0.750744,0.3534915423728817
140.0,0.487874,0.3925065423728815
140.0,0.430959,0.3866975423728815
140.0,0.491741,0.3860345423728817
140.0,0.17059,0.3457225423728816
140.0,0.117436,0.3495895423728816
140.0,0.539003,0.3595265423728817
140.0,-0.090239,0.3184315423728816
140.0,-0.370509,0.3165235423728816
140.0,0.692487,0.3779165423728816
140.0,-0.205152,0.3335205423728815
140.0,0.038048,0.3804645423728816
140.0,-0.102327,0.2744755423728815
140.0,-0.32046,0.2514115423728815
140.0,0.554284,0.3630135423728815
140.0,0.324993,0.3970125423728816
140.0,0.135371,0.4220685423728816
140.0,0.527671,0.4396595423728815
140.0,0.407497,0.4633725423728816
140.0,-0.081234,0.4532685423728817
140.0,-0.514275,0.3590415423728816
140.0,-0.248613,0.3169525423728816
140.0,-0.242685,0.3290685423728816
140.0,-0.066986,0.3479315423728817
140.0,-0.493487,0.2988105423728815
140.0,-0.276481,0.3173875423728816
140.0,-0.483575,0.2989035423728816
140.0,0.105446,0.3709445423728816
140.0,-0.106909,0.3450685423728816
140.0,-0.130492,0.3202855423728816
139.04,-0.388524,0.4056975423728817
138.08,-1.345454,0.2780322529411761
137.12,-2.572095,0.3220432529411762
136.16,-3.917986,0.491634252941176
135.2,-4.975962,0.6227012529411761
134.24,-4.681866,0.6358742529411762
133.28,-4.132319,0.6303422529411761
132.32,-3.771368,0.6414882529411762
131.36,-3.594443,0.6843152529411761
130.4,-3.999918,0.6186732529411761
129.44,-3.809113,0.643657252941176
128.48,-3.512076,0.502082252941176
127.51999999999998,-2.828626,0.5638492529411762
126.56,-2.469986,0.6255072529411762
125.6,-2.780249,0.5917652529411762
124.64,-2.441365,0.567508252941176
123.68,-2.066184,0.5903792529411761
122.72,-1.887213,0.625878252941176
121.76,-2.068111,0.587300252941176
120.8,-1.587418,0.610890252941176
119.84,-0.901351,0.5926132529411762
118.88,-0.898425,0.7095632529411761
117.92000000000002,-1.302769,0.6498862529411761
116.95999999999998,-1.61922,0.5692102529411761
116.0,-1.345924,0.5291852529411761
115.04000000000002,-0.699897,0.4879802529411762
114.07999999999998,0.187713,0.6728472529411761
113.12,-0.103164,0.6972732529411761
112.16,-0.318852,0.7236572529411759
111.2,-0.422645,0.6997152529411762
110.24,-0.334339,0.6474722529411762
109.28,-0.212504,0.662656252941176
108.32,-0.549291,0.6264652529411762
107.36,-0.417286,0.6123472529411761
106.4,0.062576,0.620823252941176
105.44,0.072846,0.6696782529411761
104.48,0.157957,0.7295792529411759
103.52,0.37412,0.747289252941176
102.56,0.251182,0.752503252941176
101.6,0.342011,0.7698602529411761
100.64,0.222225,0.7279212529411759
99.68,-0.03471,0.7059262529411762
98.72,-0.201401,0.6747432529411762
97.76,-0.045324,0.6989762529411762
96.8,-0.619911,0.5658342529411761
95.84,-0.31787,0.5995452529411761
94.88,0.535987,0.6715932529411762
93.92,0.208379,0.658742252941176
92.96,-0.096887,0.7263622529411761
92.0,0.219336,0.7015222529411761
91.04,0.545852,0.7131352529411762
90.08,0.476773,0.7571772529411761
89.12,0.25117,0.7703692529411762
88.16,0.119322,0.738711252941176
87.2,-0.310757,0.6518292529411761
86.24,-0.161085,0.6910232529411761
85.28,-0.350925,0.5913912529411761
84.32,0.40771,0.6893732529411761
83.36,0.254126,0.6954532529411762
82.4,0.310349,0.7865302529411761
81.44,0.221756,0.7350842529411762
80.48,0.367909,0.7743982529411758
79.52,0.412311,0.7754552529411761
78.56,0.439534,0.8203482529411762
77.6,0.331132,0.7826942529411759
76.64,0.185946,0.8148462529411759
75.68,-0.085986,0.7455342529411758
74.72,-0.012107,0.768293252941176
73.76,0.051774,0.7568592529411761
72.8,-0.195115,0.7588852529411759
71.84,-0.394386,0.6993782529411762
70.88,-0.411399,0.6813752529411762
69.92,-0.324091,0.6624712529411761
68.96,-0.417529,0.6437882529411761
68.0,-0.477963,0.6190962529411762
67.04,-0.019467,0.6753782529411761
66.08,0.099431,0.695644252941176
65.12,-0.060935,0.7010392529411761
64.16,0.154671,0.7047932529411761
63.2,0.330236,0.767257252941176
62.24000000000001,0.041395,0.741135252941176
61.28,0.115064,0.7625102529411759
60.31999999999999,-0.700869,0.6305492529411761
59.36,-0.381795,0.6444282529411761
58.400000000000006,-0.640594,0.5549202529411762
57.44,0.14963,0.6951432529411762
56.47999999999999,0.290974,0.6241432529411762
55.52000000000001,0.029891,0.6816502529411762
54.56,0.208592,0.6955222529411761
53.6,0.245275,0.7289642529411761
52.64,0.423161,0.7794112529411762
51.68000000000001,0.540828,0.7501442529411758
50.72,0.129157,0.7946462529411759
49.75999999999999,0.025544,0.7554582529411761
48.8,-0.264596,0.6667692529411761
47.84,-0.006886,0.6820102529411761
46.88,-0.388666,0.6529892529411762
45.92,-0.409616,0.6194912529411761
44.96000000000001,-0.379994,0.598059252941176
44.0,0.228574,0.6749562529411762
43.04,0.36291,0.7314622529411762
42.08,0.402432,0.7626202529411762
41.12,0.257519,0.7473642529411758
40.16,-0.234657,0.718287252941176
39.2,-0.690388,0.6075562529411761
38.24,-0.078935,0.6469672529411762
37.28,0.21855,0.6695222529411761
36.32,0.389745,0.726387252941176
35.36,0.336837,0.736274252941176
34.4,0.27481,0.779063252941176
33.44,0.093299,0.741272252941176
32.48,-0.436446,0.701806252941176
31.52,-0.458824,0.6637852529411762
30.56,-0.281107,0.595462252941176
29.6,-0.313075,0.618078252941176
28.64,-0.1973939999999999,0.5749262529411762
27.68,0.066524,0.6655352529411761
26.72,0.45036,0.6765522529411762
25.760000000000005,0.543116,0.7591342529411761
24.8,0.475792,0.778758252941176
23.840000000000003,0.348119,0.759378252941176
22.879999999999995,0.302633,0.793341252941176
21.92,0.223536,0.7666612529411762
20.96,0.143105,0.7478902529411761
