set_point,position_error,current
20.96,1.586355,0.3759805741525425
21.92,2.218665,0.5749500901960778
22.879999999999995,2.988753,0.7972760901960778
23.840000000000003,3.868516,0.9820230901960778
24.8,3.909588,1.1794810901960775
25.760000000000005,4.285492,1.1898930901960778
26.72,4.517188,1.1854990901960778
27.68,4.684089,1.1626460901960778
28.64,4.630139,1.0883090901960777
29.6,4.739772,1.0306380901960777
30.56,4.198712,1.0550520901960778
31.52,4.138124,1.0329450901960775
32.480000000000004,3.686746,1.0674850901960775
33.44,3.231628,1.0092300901960778
34.4,2.779292,1.0145900901960776
35.36,2.565952,1.0482890901960775
36.32,1.623706,1.1045000901960778
37.28,2.472984,0.9627990901960776
38.24,1.551688,1.078871090196078
39.2,1.691762,1.0766150901960778
40.16,1.535119,1.0758250901960775
41.12,1.32194,1.0533250901960778
42.08,1.04623,1.0326370901960775
43.04,0.585733,1.0411460901960778
44.0,0.519602,1.094299090196078
44.96,0.274978,1.1095350901960777
45.92,0.118185,1.0773590901960777
46.88,-0.1329,1.1143200901960777
47.84,-0.082484,1.1388520901960777
48.8,0.178842,1.1487240901960778
49.75999999999999,-0.139078,1.1547090901960777
50.72,-0.439864,1.1193580901960778
51.68000000000001,-0.093825,1.1404120901960777
52.64,-0.52494,1.1793870901960777
53.6,0.180101,1.1125860901960778
54.56,-0.175442,1.2181440901960778
55.52000000000001,-0.006053,1.1062760901960778
56.47999999999999,-0.090652,1.1290230901960778
57.44,0.014755,1.0846000901960775
58.400000000000006,-0.217584,1.1837500901960778
59.36,-0.303653,1.1819200901960778
60.31999999999999,-0.335132,1.1833160901960778
61.28,-0.288566,1.1476430901960777
62.24000000000001,-0.067716,1.1398900901960778
63.2,-0.463726,1.2043770901960775
64.16,0.448761,1.1260710901960778
65.12,-0.186283,1.2058340901960778
66.08,0.056348,1.0857450901960777
67.03999999999999,-0.220458,1.1766960901960777
68.0,0.147433,1.124221090196078
68.96000000000001,0.405366,1.1169040901960778
69.92,0.397897,1.1260840901960778
70.88,-0.162919,1.1734860901960775
71.84,0.045953,1.1139820901960775
72.8,-0.19605,1.1608660901960777
73.76,-0.287384,1.1794390901960778
74.72,-0.327144,1.1862840901960778
75.68,0.200549,1.1589120901960777
76.64,0.068948,1.1081740901960777
77.6,0.058752,1.1270240901960775
78.56,0.211629,1.1501110901960778
79.52,0.000424,1.1764960901960777
80.48,-0.068891,1.1705860901960778
81.44,0.184535,1.1025350901960778
82.4,0.127397,1.121314090196078
83.36,0.389886,1.0997550901960778
84.32,-0.080151,1.1547760901960775
85.28,0.331039,1.0996030901960778
86.24,-0.135526,1.1757800901960778
87.2,0.071329,1.0700050901960778
88.16,-0.410419,1.2052830901960778
89.12,0.049977,1.1205120901960777
90.08,-0.207997,1.2108450901960777
91.04,0.22972,1.0718250901960775
92.0,-0.052847,1.1369920901960775
92.96,0.025952,1.1174130901960777
93.92,0.057115,1.1712550901960777
94.88,0.144945,1.1350300901960777
95.84,-0.201412,1.186092090196078
96.8,-0.457309,1.1653350901960775
97.76,0.002623,1.1190200901960778
98.72,-0.209987,1.2069990901960777
99.68,0.394614,1.1452210901960778
100.64,0.069202,1.1383690901960777
101.6,0.485711,1.092191090196078
102.56,-0.04784,1.1048020901960778
103.52,0.123529,1.1279710901960778
104.48,0.280633,1.1192170901960778
105.44,0.005833,1.1374930901960778
106.4,0.088806,1.0984840901960775
107.36,-0.071319,1.1240500901960775
108.32,0.049897,1.0795170901960778
109.28,0.028073,1.1681240901960777
110.24,-0.230084,1.1523930901960775
111.2,-0.020299,1.1026060901960777
112.16,-0.140296,1.1234010901960778
113.12,-0.041276,1.0987920901960777
114.07999999999998,0.087746,1.1364210901960778
115.04000000000002,0.281512,1.1221820901960775
116.0,0.148815,1.0961510901960778
116.95999999999998,-0.139492,1.1130350901960775
117.92000000000002,-0.038881,1.1044460901960778
118.88,-0.542919,1.2050210901960778
119.84,-0.226755,1.180270090196078
120.8,-0.057771,1.1707400901960778
121.76,-0.113997,1.1240690901960777
122.72,-0.111838,1.1517860901960777
123.68,-0.056162,1.1624890901960778
124.64,-0.004219,1.1850480901960778
125.6,0.19985,1.1397690901960775
126.56,0.191408,1.108909090196078
127.51999999999998,0.095767,1.0809990901960778
128.48000000000002,0.025004,1.131117090196078
129.44,0.018209,1.1608360901960777
130.4,-0.06541,1.176648090196078
131.36,0.013573,1.1311720901960778
132.32,-0.168995,1.1318240901960777
133.28,-0.019528,1.1368270901960775
134.24,0.035371,1.1455380901960777
135.2,0.098391,1.1336010901960778
136.16,-0.270462,1.2095870901960777
137.12,0.248855,1.0816630901960778
138.08,-0.519362,1.1806170901960775
139.04,0.191511,1.1205240901960778
140.0,-0.380408,1.2091360901960777
140.0,-1.378477,1.1067070901960778
140.0,-1.785031,1.1477940901960777
140.0,-2.95319,1.1786280901960775
140.0,-3.368392,0.9680360901960776
140.0,-4.068637,0.7083165741525426
140.0,-4.42254,0.5231565741525426
140.0,-3.974128,0.2976865741525424
140.0,-5.691701,0.5010205741525426
140.0,-3.758916,0.4200185741525425
140.0,-4.101583,0.5298055741525425
140.0,-4.475799,0.5262515741525426
140.0,-3.357662,0.5926045741525425
140.0,-3.525788,0.6257525741525425
140.0,-2.481456,0.4916175741525425
140.0,-2.776123,0.5368845741525425
140.0,-2.446327,0.4857495741525425
140.0,-2.231006,0.5398565741525425
140.0,-2.050925,0.5250595741525426
140.0,-1.529797,0.4807305741525424
140.0,-1.618004,0.4952945741525424
140.0,-0.796672,0.3820245741525425
140.0,-1.401189,0.4594095741525425
140.0,-0.270768,0.3034965741525425
140.0,-1.05714,0.4501805741525425
140.0,-0.318052,0.3175295741525425
140.0,-0.858368,0.4371965741525425
140.0,-0.735039,0.4154285741525425
140.0,-0.32616,0.4113585741525424
140.0,-0.498633,0.4347895741525424
140.0,0.6683,0.2713025741525425
140.0,-0.060785,0.3966235741525425
140.0,0.188962,0.3696085741525425
140.0,0.205026,0.2979075741525425
140.0,-0.159145,0.3476135741525425
140.0,0.878989,0.2335175741525425
140.0,-0.636038,0.4891745741525425
140.0,0.717956,0.3392315741525425
140.0,-0.069488,0.4076585741525424
140.0,0.3612,0.3556515741525425
140.0,0.229054,0.3181015741525425
140.0,0.061756,0.3741515741525424
140.0,0.291735,0.3009075741525425
140.0,0.576556,0.2485115741525425
140.0,0.697601,0.2999575741525425
140.0,-0.199466,0.4603465741525425
140.0,0.247437,0.3389695741525424
140.0,-0.103993,0.3212805741525426
140.0,-0.31521,0.3569415741525425
140.0,-0.183446,0.2961715741525425
140.0,-0.493318,0.3108565741525425
140.0,-0.452551,0.3349965741525424
140.0,-0.579866,0.3827025741525424
140.0,-0.163503,0.3456455741525425
140.0,-0.464241,0.3905495741525425
140.0,0.071339,0.3210045741525425
140.0,-0.400707,0.3719485741525425
140.0,0.436441,0.2462255741525424
140.0,-0.174719,0.3837675741525425
140.0,0.181125,0.3404255741525425
140.0,0.351404,0.2809465741525425
140.0,-0.378668,0.4290245741525424
140.0,-0.067656,0.3780365741525425
140.0,0.904155,0.2382725741525425
140.0,-0.521161,0.4655675741525425
140.0,0.241538,0.3701635741525425
140.0,-0.435525,0.4063025741525425
140.0,-0.112263,0.3722465741525424
140.0,0.128738,0.3142785741525425
140.0,-0.107995,0.3421725741525425
140.0,0.697108,0.2122215741525425
140.0,-0.859267,0.5049185741525426
140.0,0.653205,0.3461835741525425
140.0,-0.227071,0.4610085741525424
140.0,0.581045,0.3285545741525426
140.0,-0.070006,0.3963855741525425
139.04,-0.982364,0.3758645741525425
138.08,-1.611506,0.3016659647058827
137.12,-2.748517,0.5006059647058828
136.16,-3.249914,0.6781549647058828
135.2,-3.554072,0.8370399647058827
134.24,-3.828291,0.8776969647058829
133.28,-3.926626,0.8111869647058828
132.32,-3.973229,0.7614299647058828
131.36,-2.976209,0.5945579647058828
130.4,-4.211826,0.7743629647058828
129.44,-3.938803,0.6976399647058827
128.48000000000002,-3.420644,0.5249679647058828
127.51999999999998,-3.344878,0.5536669647058828
126.56,-3.192886,0.5567509647058827
125.6,-3.022837,0.5339709647058827
124.64,-2.781389,0.4911389647058827
123.68,-2.308772,0.4950489647058828
122.72,-2.02453,0.5227069647058827
121.76,-1.358808,0.5256399647058828
120.8,-1.83636,0.5890579647058828
119.84,-2.101863,0.6747369647058828
118.88,-1.599913,0.5245849647058828
117.92000000000002,-0.881813,0.4442129647058827
116.95999999999998,-1.02022,0.5232769647058827
116.0,-1.408581,0.6569139647058827
115.04000000000002,-0.866188,0.5526189647058827
114.07999999999998,-0.619183,0.4785319647058828
113.12,-0.54019,0.5703859647058828
112.16,-0.368784,0.5637149647058829
111.2,-0.417693,0.6334779647058827
110.24,-0.406372,0.6411659647058828
109.28,-0.331297,0.6015189647058828
108.32,0.010345,0.5993169647058828
107.36,-0.258347,0.6812569647058827
106.4,-0.103384,0.6308129647058828
105.44,0.43522,0.6165639647058828
104.48,0.304645,0.6978759647058829
103.52,-0.278502,0.7723279647058828
102.56,-0.036233,0.6817889647058827
101.6,-0.20951,0.6772439647058829
100.64,0.327096,0.6340779647058828
99.68,0.272683,0.6818339647058828
98.72,0.35185,0.6534949647058829
97.76,-0.104125,0.7387249647058828
96.8,0.002497,0.7278389647058828
95.84,0.128772,0.6550539647058827
94.88,0.255122,0.6394679647058829
93.92,0.31027,0.6925899647058827
92.96,-0.355137,0.7610969647058828
92.0,0.081809,0.7096279647058829
91.04,-0.000523,0.6929889647058828
90.08,0.118442,0.6583779647058828
89.12,0.290168,0.6577519647058828
88.16,0.092946,0.7166819647058827
87.2,0.429166,0.7008469647058827
86.24,0.722198,0.6910109647058827
85.28,-0.541645,0.8208329647058829
84.32,-0.107191,0.7669329647058828
83.36,0.249659,0.5864949647058827
82.4,0.007631,0.7023039647058827
81.44,0.044691,0.7101319647058827
80.48,-0.120676,0.7142329647058828
79.52,-0.192152,0.7260189647058829
78.56,0.464299,0.5951849647058828
77.6,0.20298,0.6914649647058827
76.64,-0.073274,0.7757889647058828
75.68,0.390796,0.6879169647058828
74.72,0.197634,0.6860529647058827
73.76,0.31227,0.6919869647058828
72.8,-0.188654,0.7565479647058827
71.84,-0.315638,0.7494599647058827
70.88,-0.007977,0.6428139647058827
69.92,0.189054,0.6606389647058827
68.96000000000001,0.185252,0.6871819647058829
68.0,-0.463779,0.7811819647058827
67.03999999999999,-0.164542,0.7517489647058827
66.08,0.16908,0.6343569647058828
65.12,0.036796,0.6481189647058828
64.16,0.336002,0.6794949647058829
63.2,-0.106782,0.7575559647058828
62.24000000000001,0.23894,0.7108279647058827
61.28,-0.937373,0.8257479647058829
60.31999999999999,-0.254955,0.6972839647058827
59.36,0.353537,0.5675929647058827
58.400000000000006,0.293999,0.6534869647058829
57.44,0.014295,0.7213399647058828
56.47999999999999,0.071305,0.7298489647058829
55.52000000000001,-0.189489,0.7397349647058827
54.56,0.154524,0.6507019647058828
53.6,0.139428,0.6659759647058828
52.64,0.473779,0.6907559647058829
51.68000000000001,0.383467,0.7125699647058829
50.72,-0.447759,0.8399229647058827
49.75999999999999,-0.206118,0.7144549647058828
48.8,-0.043151,0.6316129647058827
47.84,-0.131334,0.7028059647058827
46.88,0.245013,0.6665989647058829
45.92,-0.076253,0.7122289647058827
44.96,0.303375,0.6587969647058828
44.0,0.253104,0.6482829647058829
43.04,-0.367949,0.7554779647058828
42.08,-0.088967,0.7253119647058829
41.12,-0.332019,0.6913019647058828
40.16,0.11833,0.6603759647058828
39.2,0.17856,0.6777319647058827
38.24,-0.406802,0.7656209647058828
37.28,0.336069,0.6571839647058827
36.32,0.203771,0.6801889647058829
35.36,-0.3992,0.7930619647058829
34.4,0.126843,0.6395179647058827
33.44,0.137258,0.6824509647058828
32.480000000000004,-0.078295,0.7162939647058827
31.52,0.306352,0.6915849647058828
30.56,0.320671,0.6872229647058828
29.6,0.421788,0.7246759647058828
28.64,0.428262,0.7418249647058829
27.68,-0.911232,0.8807479647058828
26.72,-0.135212,0.6788459647058828
25.760000000000005,-0.415992,0.6795979647058829
24.8,-0.402894,0.6986399647058829
23.840000000000003,0.102965,0.6079549647058827
22.879999999999995,-0.01932,0.6803149647058827
21.92,0.123553,0.6972549647058829
20.96,-0.449887,0.7719689647058828
